seq_no,meter_id,meter_disagg_start,meter_disagg_end,usage_interval_duration
171,00293543b7524c56ca1ba9bef6a69090a537efc1_AMI,1722470400,1725061500,15 minute
172,0029375c1aa7de12a01d6ec9a7255c12f11e06c5_AMI,1722470400,1725061500,15 minute
173,0029a5b7e7931a8dcb5a6a13d8bbec74a37228e9_AMI,1722470400,1725061500,15 minute
174,0029ca343e9e76ddd9b4ed0432570f00153fbd2e_AMI,1722470400,1725061500,15 minute
175,0029cc601fbdb9cb4e912232a696bf48b9c434d6_AMI,1722470400,1725061500,15 minute
176,0029dae3351825f3c09dd3c4da71018011911aa9_AMI,1722470400,1725061500,15 minute
177,0029edf0cec60a7d5cb6c6a0b7440909f90cf692_AMI,1722470400,1725061500,15 minute
178,0029fa21e7e0316c3f8e22fc9359dbaf7650ce27_AMI,1722470400,1725061500,15 minute
179,0029fb729011b872d065a24dd6d641f7142d2217_AMI,1722470400,1725061500,15 minute
180,002a46ca2d0c2e89ab590b3c8b2e05962f9d2a68_AMI,1722470400,1725061500,15 minute
181,002a51438d54a0fda71c65cfb5b70a49ea92880a_AMI,1722470400,1725061500,15 minute
182,002a561d4a0afcf7d197a3b101b238932cf99e8b_AMI,1722470400,1725061500,15 minute
183,002a5f018ad3ca288d11f6131fbd3d96c3d2e789_AMI,1722470400,1725061500,15 minute
184,002a94005645ef0119dbda89d34e16b37183d0d4_AMI,1722470400,1725061500,15 minute
185,002aaaab866f22260a280fb564d549f20c38a25f_AMI,1722470400,1725061500,15 minute
186,002ac80f35f3fbbbe5257e561721f067b2b96701_AMI,1722470400,1725061500,15 minute
187,002ae08015437e6edd9f4ebba506841a918b10a8_AMI,1722470400,1725061500,15 minute
188,002af078114aae22c814e1c0a87c842d62b75760_AMI,1722470400,1725061500,15 minute
189,002b1802ad19614812368a051394881319015fd5_AMI,1722470400,1725061500,15 minute
190,002b3d985593a8d1a0dbc083cf937ea212a6f4f1_AMI,1722470400,1725061500,15 minute
191,002b73fb0b901bf3e5ee0676386f52be25df194c_AMI,1722470400,1725061500,15 minute
192,002ba4dac45e6bf994a03e02096a5546e4b3a54a_AMI,1722470400,1725061500,15 minute
193,002bca6433d26f1060ada3b62712fbe9dc42dd60_AMI,1722470400,1725061500,15 minute
194,002be94175a1c8f34b912186e4a115358bb2b863_AMI,1722470400,1725061500,15 minute
195,002bfef8c76e8b83ad95ed71925137cadad755b5_AMI,1722470400,1725061500,15 minute
196,002c60383045b38bdabdbecd3d126466e37ef6d2_AMI,1722470400,1725061500,15 minute
197,002c6d12093c6259b50ebc6fff70296f995939f7_AMI,1722470400,1725061500,15 minute
198,002c92cfd952d216daad968733e3c1f61e5b6811_AMI,1722470400,1725061500,15 minute
199,002cb2d29b7a3652df37a8f806927a97939fc5ab_AMI,1722470400,1725061500,15 minute
200,002d2eb64fb837e4adb28c3bda5ee41b1536733b_AMI,1722470400,1725061500,15 minute
201,002d4aa393591eb7da2d75a603b3f6486fab3a19_AMI,1722470400,1725061500,15 minute
202,002d763dce1884a8e000a59bd796a0bd56a099bc_AMI,1722470400,1725061500,15 minute
203,002d9f88954b35ee4ae449cb24d9f3faeb7626f7_AMI,1722470400,1725061500,15 minute
204,002dcd08911addc42a2556a2ef7f027e47081ecd_AMI,1722470400,1725061500,15 minute
205,002ec747559cb353d3ea325d3921bdf96fdd4cdb_AMI,1722470400,1725061500,15 minute
206,002ed0e0f06c716e70956d2d4bbe917e24385fdb_AMI,1722470400,1725061500,15 minute
207,002f1d6eddfdbf71ffd4bada5281645e7270fd2a_AMI,1722470400,1725061500,15 minute
208,002f29be02fe582f95b1a13f2323c0fd4d830c0d_AMI,1722470400,1725061500,15 minute
209,002f3c083288e60ac6e205cc02a93d8dfe511875_AMI,1722470400,1725061500,15 minute
210,002f57a881c5dc48779b33faf91fb5151ecf20be_AMI,1722470400,1725061500,15 minute
211,002f61c937df60847ab300ab1f4d837d76702be2_AMI,1722470400,1725061500,15 minute
212,002f9eec50a488edf1e73dfbd0a02e64f6750bba_AMI,1722470400,1725061500,15 minute
213,0030236a61780c4a77e9900cf6a7d5c45757aa4c_AMI,1722470400,1725061500,15 minute
214,003061b4db028c689c743925940847895d5379ef_AMI,1722470400,1725061500,15 minute
215,00306b32b138c22b09922fe7f9de801d2afa47e2_AMI,1722470400,1725061500,15 minute
216,00308041fce777a534bddcb689fc0047c78dbd3c_AMI,1722470400,1725061500,15 minute
217,0030dafa720030e3ca234b39d6d6ce448acac4af_AMI,1722470400,1725061500,15 minute
