seq_no,meter_id,equipment_disagg_start,equipment_disagg_end,equipment_type,equipment_detected,direction,meter_consumption,equipment_consumption,uom
252,12711349,1722470400,1725061500,other,y,1,4821.964,3796.845508881104,kwh
253,14846820,1722470400,1725061500,EV,y,1,4581.152,56.24354300041315,kwh
254,14846820,1722470400,1725061500,AC,y,1,4581.152,908.0903228754688,kwh
255,14846820,1722470400,1725061500,PV,n,-1,4581.152,0.0,kwh
256,14846820,1722470400,1725061500,other,y,1,4581.152,3616.818132944064,kwh
257,14616304,1722470400,1725061500,EV,y,1,3956.552,57.47011675466895,kwh
258,14616304,1722470400,1725061500,AC,y,1,3956.552,1035.1094271328311,kwh
259,14616304,1722470400,1725061500,PV,n,-1,3956.552,0.0,kwh
260,14616304,1722470400,1725061500,other,y,1,3956.552,2863.972454223099,kwh
261,14196644,1722470400,1725061500,EV,y,1,4205.384,61.27881592780813,kwh
262,14196644,1722470400,1725061500,AC,y,1,4205.384,993.5439094772177,kwh
263,14196644,1722470400,1725061500,PV,n,-1,4205.384,0.0,kwh
264,14196644,1722470400,1725061500,other,y,1,4205.384,3150.561271886144,kwh
265,7743521,1722470400,1725061500,EV,y,1,3577.476,56.33193660667818,kwh
266,7743521,1722470400,1725061500,AC,y,1,3577.476,934.5479957464428,kwh
267,7743521,1722470400,1725061500,PV,n,-1,3577.476,0.0,kwh
268,7743521,1722470400,1725061500,other,y,1,3577.476,2586.5960660877568,kwh
269,14840429,1722470400,1725061500,EV,y,1,1187.4119999999998,30.927553383404284,kwh
270,14840429,1722470400,1725061500,AC,y,1,1187.4119999999998,452.3930439736996,kwh
271,14840429,1722470400,1725061500,PV,n,-1,1187.4119999999998,0.0,kwh
272,14840429,1722470400,1725061500,other,y,1,1187.4119999999998,704.0913996654837,kwh
273,12772801,1722470400,1725061500,EV,y,1,3167.784,40.55869458263176,kwh
274,12772801,1722470400,1725061500,AC,y,1,3167.784,726.3060790637248,kwh
275,12772801,1722470400,1725061500,PV,n,-1,3167.784,0.0,kwh
276,12772801,1722470400,1725061500,other,y,1,3167.784,2400.91922394416,kwh
277,7735676,1722470400,1725061500,EV,y,1,4063.452,62.82419074405717,kwh
278,7735676,1722470400,1725061500,AC,y,1,4063.452,1098.573367202412,kwh
279,7735676,1722470400,1725061500,PV,n,-1,4063.452,0.0,kwh
280,7735676,1722470400,1725061500,other,y,1,4063.452,2902.05444153702,kwh
281,14154392,1722470400,1725061500,EV,y,1,3058.340032,52.013171375031945,kwh
282,14154392,1722470400,1725061500,AC,y,1,3058.340032,802.6653414841461,kwh
283,14154392,1722470400,1725061500,PV,n,-1,3058.340032,0.0,kwh
284,14154392,1722470400,1725061500,other,y,1,3058.340032,2203.6615171282474,kwh
285,14258585,1722470400,1725061500,EV,y,1,7486.556,70.28363843982062,kwh
286,14258585,1722470400,1725061500,AC,y,1,7486.556,1264.224862453164,kwh
287,14258585,1722470400,1725061500,PV,n,-1,7486.556,0.0,kwh
288,14258585,1722470400,1725061500,other,y,1,7486.556,6152.0474969380775,kwh
289,8019844,1722470400,1725061500,EV,y,1,8763.532,70.51963751833738,kwh
290,8019844,1722470400,1725061500,AC,y,1,8763.532,1393.6009348889322,kwh
291,8019844,1722470400,1725061500,PV,n,-1,8763.532,0.0,kwh
292,8019844,1722470400,1725061500,other,y,1,8763.532,7299.411428006321,kwh
293,8082688,1722470400,1725061500,EV,y,1,2973.528032,48.06039623106504,kwh
294,8082688,1722470400,1725061500,AC,y,1,2973.528032,692.4392624828403,kwh
295,8082688,1722470400,1725061500,PV,n,-1,2973.528032,0.0,kwh
296,8082688,1722470400,1725061500,other,y,1,2973.528032,2233.028371235904,kwh
297,13011808,1722470400,1725061500,EV,y,1,5269.056,69.87170753127874,kwh
298,13011808,1722470400,1725061500,AC,y,1,5269.056,891.2207368972659,kwh
299,13011808,1722470400,1725061500,PV,n,-1,5269.056,0.0,kwh
300,13011808,1722470400,1725061500,other,y,1,5269.056,4307.963552418594,kwh
301,12647440,1722470400,1725061500,EV,y,1,3658.14,52.81040835271046,kwh
302,12647440,1722470400,1725061500,AC,y,1,3658.14,931.5013795467372,kwh
303,12647440,1722470400,1725061500,PV,n,-1,3658.14,0.0,kwh
304,12647440,1722470400,1725061500,other,y,1,3658.14,2673.8282107388204,kwh
305,7979223,1722470400,1725061500,EV,y,1,3796.26402,51.20505670230236,kwh
306,7979223,1722470400,1725061500,AC,y,1,3796.26402,888.2618150762546,kwh
307,7979223,1722470400,1725061500,PV,n,-1,3796.26402,0.0,kwh
308,7979223,1722470400,1725061500,other,y,1,3796.26402,2856.79714522979,kwh
309,7848001,1722470400,1725061500,EV,y,1,4704.08,68.5072350912834,kwh
310,7848001,1722470400,1725061500,AC,y,1,4704.08,986.9017414572314,kwh
311,7848001,1722470400,1725061500,PV,n,-1,4704.08,0.0,kwh
312,7848001,1722470400,1725061500,other,y,1,4704.08,3648.6710212439134,kwh
313,12039647,1722470400,1725061500,EV,y,1,4491.832,60.18503465554795,kwh
314,12039647,1722470400,1725061500,AC,y,1,4491.832,1014.0584735115932,kwh
315,12039647,1722470400,1725061500,PV,n,-1,4491.832,0.0,kwh
316,12039647,1722470400,1725061500,other,y,1,4491.832,3417.588489703319,kwh
317,7064865,1722470400,1725061500,EV,y,1,4770.584,61.63191251659619,kwh
318,7064865,1722470400,1725061500,AC,y,1,4770.584,953.222093578521,kwh
319,7064865,1722470400,1725061500,PV,n,-1,4770.584,0.0,kwh
320,7064865,1722470400,1725061500,other,y,1,4770.584,3755.7299921480417,kwh
321,14036302,1722470400,1725061500,EV,y,1,5432.06,59.78744923569638,kwh
322,14036302,1722470400,1725061500,AC,y,1,5432.06,1113.7677915679153,kwh
323,14036302,1722470400,1725061500,PV,n,-1,5432.06,0.0,kwh
324,14036302,1722470400,1725061500,other,y,1,5432.06,4258.504758261667,kwh
325,13601708,1722470400,1725061500,EV,y,1,1966.892,49.27741672118605,kwh
326,13601708,1722470400,1725061500,AC,y,1,1966.892,666.0907274437178,kwh
327,13601708,1722470400,1725061500,PV,n,-1,1966.892,0.0,kwh
328,13601708,1722470400,1725061500,other,y,1,1966.892,1251.5238535708856,kwh
329,14869772,1722470400,1725061500,EV,y,1,3864.332,55.3453370149152,kwh
330,14869772,1722470400,1725061500,AC,y,1,3864.332,939.2792236574082,kwh
331,14869772,1722470400,1725061500,PV,n,-1,3864.332,0.0,kwh
332,14869772,1722470400,1725061500,other,y,1,3864.332,2869.7074360611614,kwh
333,7607588,1722470400,1725061500,EV,y,1,5163.212,71.64951481031478,kwh
334,7607588,1722470400,1725061500,AC,y,1,5163.212,1178.1884272583025,kwh
335,7607588,1722470400,1725061500,PV,n,-1,5163.212,0.0,kwh
336,7607588,1722470400,1725061500,other,y,1,5163.212,3913.374057582833,kwh
337,7723604,1722470400,1725061500,EV,y,1,2617.748,47.92429212700553,kwh
338,7723604,1722470400,1725061500,AC,y,1,2617.748,697.4888736764001,kwh
339,7723604,1722470400,1725061500,PV,n,-1,2617.748,0.0,kwh
340,7723604,1722470400,1725061500,other,y,1,2617.748,1872.334831355042,kwh
341,7146271,1722470400,1725061500,EV,y,1,3338.304,55.20525914968584,kwh
342,7146271,1722470400,1725061500,AC,y,1,3338.304,854.8538198702367,kwh
343,7146271,1722470400,1725061500,PV,n,-1,3338.304,0.0,kwh
344,7146271,1722470400,1725061500,other,y,1,3338.304,2428.244918695899,kwh
345,8385905,1722470400,1725061500,EV,y,1,4058.24402,58.89878327541719,kwh
346,8385905,1722470400,1725061500,AC,y,1,4058.24402,966.7338748239544,kwh
347,8385905,1722470400,1725061500,PV,n,-1,4058.24402,0.0,kwh
348,8385905,1722470400,1725061500,other,y,1,4058.24402,3032.611360384124,kwh
349,8231929,1722470400,1725061500,EV,y,1,5409.468,63.73811855745082,kwh
350,8231929,1722470400,1725061500,AC,y,1,5409.468,1050.3931208111128,kwh
